Arr Date,Dep Date,Ship,Berth,Port,Agent,To
Wed 13 Mar 2019 09:17,Wed 20 Mar 2019 12:34,WHITE ROSE,North Anchorage 1,Gladstone,LBH Australia Pty Ltd (Gladstone),Clinton Coal
Wed 13 Mar 2019 09:36,Fri 15 Mar 2019 17:10,KEREMA CHIEF,Smiths Creek 1,Cairns,Sea Swift Pty Ltd,SEA
Wed 13 Mar 2019 10:18,Wed 20 Mar 2019 00:00,VOLOS,South Anchorage 03,Hay Point,LBH Australia Pty Ltd (Mackay),HPS Berth 3
Wed 13 Mar 2019 11:22,Wed 20 Mar 2019 12:34,UNTA,North Anchorage 4,Gladstone,Gulf Agency Company (Gladstone),Clinton Coal
Wed 13 Mar 2019 12:05,Fri 15 Mar 2019 00:45,SEAMATE,North Anchorage 8,Gladstone,LBH Australia Pty Ltd (Gladstone),Clinton Coal 4
Wed 13 Mar 2019 12:10,Fri 15 Mar 2019 02:00,NEW LIFE,Bulk Sugar Terminal Berth,Bundaberg,Wave Shipping Pty Ltd,SEA
Wed 13 Mar 2019 12:12,Fri 15 Mar 2019 14:45,IRON LADY,Fishermans Landing 2,Gladstone,Inchcape Shipping Services (Queensland),SEA
Wed 13 Mar 2019 13:20,,MORETON VENTURE II,Shute Harbour,Whitsunday,Owner / Agent / Master (Mackay),
Wed 13 Mar 2019 14:10,Thu 14 Mar 2019 16:45,SERI BEGAWAN,LNG Anchorage 1,Gladstone,LBH Australia Pty Ltd (Gladstone),Santos GLNG
Wed 13 Mar 2019 14:25,Fri 15 Mar 2019 14:00,GLORY ATLANTIC,Townsville 04,Townsville,Magnetic Shipping Services,SEA
Wed 13 Mar 2019 14:40,Sat 16 Mar 2019 23:40,ULTRA PROGRESSION,Point Cartwright Anchorage,Brisbane,Monson Agencies Australia (Brisbane),Pinkenba No 1
Wed 13 Mar 2019 15:48,Sun 31 Mar 2019 08:00,BETICO II,BSE Maritime Solutions,Brisbane,Sturrock Grindrod Maritime (Brisbane),SEA
Wed 13 Mar 2019 15:56,Wed 27 Mar 2019 00:00,GOLDEN ARION,North Anchorage 06,Hay Point,Sturrock Grindrod Maritime (Mackay),DBCT Berth 4
Wed 13 Mar 2019 16:06,Thu 14 Mar 2019 13:00,LARA VENTURE,Abott Point 2,Abbot Point,Monson Agencies Australia (Townsville & Abbot Point),SEA
Wed 13 Mar 2019 16:18,Thu 14 Mar 2019 20:15,RAGA,Anchorage 1,Weipa,Wilhelmsen Ships Service (Weipa),Lorim West
Wed 13 Mar 2019 16:39,Fri 15 Mar 2019 11:00,JUNETTE JOY,Tug Harbour Lease A,Hay Point,Owner / Agent / Master (Mackay),HPS Trestle
Wed 13 Mar 2019 16:39,Fri 15 Mar 2019 11:00,LYDIA,Tug Harbour Lease A,Hay Point,Owner / Agent / Master (Mackay),HPS Trestle
Wed 13 Mar 2019 18:45,Thu 14 Mar 2019 21:15,LNG FUKUROKUJU,Australia Pacific LNG,Gladstone,Wilhelmsen Ships Service (Gladstone),SEA
Wed 13 Mar 2019 20:06,Thu 14 Mar 2019 12:30,WINCANTON,Fishermans Landing 5,Gladstone,Inchcape Shipping Services (Queensland),SEA
Wed 13 Mar 2019 20:45,Fri 15 Mar 2019 00:45,MIDNIGHT DREAM,Clinton Coal 4,Gladstone,Gulf Agency Company (Gladstone),SEA
Wed 13 Mar 2019 20:56,Sun 17 Mar 2019 04:15,RTM PIIRAMU,North Anchorage 11,Gladstone,Wilhelmsen Ships Service (Gladstone),Fishermans Landing 1
Wed 13 Mar 2019 21:48,Fri 15 Mar 2019 12:00,TAIRYU,Clinton Coal 1,Gladstone,Sturrock Grindrod Maritime (Gladstone),SEA
Wed 13 Mar 2019 21:50,Fri 15 Mar 2019 04:30,LISBON,Fisherman Island No. 9,Brisbane,Inchcape Shipping Services (Queensland),SEA
Wed 15 Nov 2017 11:50,,BHAGWAN ABROLHOS,Humbug Barge Ramp,Weipa,Bhagwan Marine,
Wed 15 Nov 2017 12:00,,PMG PANTHER/182 WSY,Pigeon Island,Whitsunday,Owner / Agent / Master (Mackay),
Wed 16 May 2018 21:00,,SEA BREEZE,Toondah Harbour,Brisbane,Owner / Agent / Master (Brisbane),
Wed 18 Jul 2018 12:50,,BANKS,Townsville Marine Precinct 1,Townsville,Coral Coast Oceaneering Pty Ltd,
Wed 20 Feb 2019 10:48,Sat 16 Mar 2019 00:30,TRITON GANNET,Abbot Point Anchorage,Abbot Point,Monson Agencies Australia (Townsville & Abbot Point),Abbot Point 1
Wed 20 Sep 2017 16:43,,ENDEAVOUR BAY,Admiralty Anchorage,Cairns,Sea Swift Pty Ltd,
Wed 25 Oct 2017 21:40,,JUB3,Queensport,Brisbane,Pacific Tug (Australia) Pty Ltd,
Wed 26 Apr 2017 15:58,,OSAKA 184,Tropical Reef Slipway,Cairns,Wilhelmsen Ships Service (Cairns),
Wed 26 Sep 2018 20:40,,FIONA F,Queensport,Brisbane,Bhagwan Marine Brisbane,
Wed 30 Jan 2019 06:40,,ENDLESS SUMMER,Sailfish Quay 7,Cairns,Australasian Superyacht Services - (Mickdi Pty Ltd),
Wed 30 Jan 2019 18:30,Tue 12 Mar 2019 12:34,PACIFIC CONQUEST,Brisbane Ship Lifts,Brisbane,Owner / Agent / Master (Brisbane),SEA
Wed 31 Oct 2018 14:10,,HTK LUCKY,Cairns Anchorage 1,Cairns,Sturrock Grindrod Maritime (Northern Ports),
